FACTOR_1,FACTOR_2,DATA
1,1,0.003218219
2,1,-0.003739445
2,2,0.025747948
3,1,-0.000210631
3,2,0.000759938
3,3,0.003147211
3,426,0.002124003
4,1,0.000136795
4,2,0.001154956
4,3,6.47388E-05
4,4,0.004805526
4,261,-0.001183211
4,426,0.000201636
4,450,0.001396908
5,1,0.001049062
5,2,0.001706412
5,3,0.001577181
5,4,0.000197394
5,5,0.015932373
5,261,-1.26536E-05
5,426,0.00494159
5,450,0.00088075
6,1,0.000585573
6,2,-0.004719252
6,3,0.00071869
6,4,0.000171726
6,5,-0.001057601
6,6,0.005102524
6,261,0.000253835
6,426,0.000640038
6,450,0.00036751
7,1,0.000360247
7,2,-0.000245918
7,3,-0.000536735
7,4,0.000277111
7,5,-0.002827608
7,6,0.000330578
7,7,0.029408551
7,251,2.92021E-05
7,261,-0.000462563
7,270,0.000543022
7,426,0.00731614
7,450,0.001173752
8,1,-0.001374898
8,2,0.017392054
8,3,8.32339E-05
8,4,0.001673261
8,5,0.005899695
8,6,-0.004101187
8,7,-0.003204852
8,8,0.035480845
8,251,0.002754282
8,261,-0.003551537
8,270,-4.27094E-05
8,426,-0.003676041
8,450,0.000898661
9,1,-0.000683435
9,2,-0.000757127
9,3,-0.000579815
9,4,0.000129215
9,5,-0.000408964
9,6,0.001046709
9,7,-0.00282948
9,8,0.000268202
9,9,0.003686879
9,251,-4.61322E-05
9,258,0.000255664
9,261,-0.000278417
9,270,4.45272E-05
9,426,-0.002921761
9,450,-0.000326729
10,1,-0.0011689
10,2,-0.000190629
10,3,-1.84587E-05
10,4,-0.000302332
10,5,-0.001559681
10,6,0.000300003
10,7,5.4973E-05
10,8,-0.000926844
10,9,0.000965572
10,10,0.003068164
10,251,-3.44085E-05
10,258,-0.000681514
10,261,0.000209105
10,270,-0.000110655
10,426,-0.000963315
10,450,-0.000347118
11,1,-0.001185845
11,2,0.001236311
11,3,-0.00011749
11,4,0.000396596
11,5,-0.000114803
11,6,-0.000389109
11,7,0.000407438
11,8,-0.001115855
11,9,0.000890923
11,10,0.001462723
11,11,0.00353321
11,251,0.000224827
11,258,-0.001848827
11,261,0.000108874
11,270,-0.000350657
11,426,0.000281968
11,450,0.000466349
12,1,0.000673333
12,2,0.000765714
12,3,5.65808E-06
12,4,-0.000635811
12,5,0.000966896
12,6,-4.99737E-05
12,7,-0.002808435
12,8,0.000966206
12,9,0.000704251
12,10,0.0003954
12,11,0.000420899
12,12,0.0140566
12,251,0.000390039
12,258,0.000860901
12,261,0.002188064
12,270,0.000303836
12,426,0.000444147
12,450,0.000307559
13,1,9.04275E-05
13,2,-0.00020953
13,3,4.66427E-05
13,4,0.000353529
13,5,0.000106781
13,6,6.7733E-05
13,7,-0.000270982
13,8,2.91363E-05
13,9,2.07182E-06
13,10,-0.000109369
13,11,-4.2976E-06
13,12,-8.2446E-05
13,13,0.000142069
13,251,3.34263E-06
