DATE,MSQEFLRG Index,MSQEFVAG Index,MSQEFMOG Index,MSQEFQUG Index,SGIFXC10 Index,SGIFXM10 Index,BXIIXTBP Index,BXIISAGU Index,BXIIEPAG Index,BCOM Index
1/31/2006,100,100,100,100,1003.745,801.137,122.4102,452.8532,121.8705,173.6687
2/28/2006,101.11,100.83,100.27,99.9,1011.2,803.029,122.1682,453.0798,121.9741,162.2336
3/31/2006,100.83,101.07,100.67,100.17,996.974,789.442,124.6408,453.1771,122.1693,165.194
4/28/2006,100.46,101.16,100.71,100.31,959.864,797.365,127.0332,452.9503,122.1937,175.7669
5/31/2006,100.97,101.97,99.8,99.91,948.469,800.009,126.6535,452.3822,122.4198,176.6788
6/30/2006,101.67,102.79,100.34,100.31,954.799,814.579,127.8264,451.436,122.9523,173.2354
7/31/2006,104.45,104.43,100.66,100.36,957.363,814.093,125.0562,453.1607,122.4421,178.0322
8/31/2006,104.44,104.28,99.02,99.55,970.813,813.364,126.6874,458.18,122.3563,170.8761
9/29/2006,105.49,104.5,98.33,100.07,983.048,824.642,127.9482,460.2051,122.4175,159.9566
10/31/2006,105.61,103.81,99.04,100.72,975.891,834.485,125.6989,459.3832,122.6746,166.8169
11/30/2006,106.07,102.88,99.32,99.3,948.16,828.96,127.0115,458.2122,122.6439,175.214
12/29/2006,108,104.01,99.94,99.17,966.711,819.083,125.1143,454.4777,122.9628,166.5087
1/31/2007,107.96,103.09,100.47,99.35,978.331,823.118,127.0398,454.4042,123.3501,166.0942
2/28/2007,107,104.08,100,99.93,962.29,831.684,124.6799,453.3182,123.3686,171.0131
3/30/2007,107.32,103.84,101.56,100.32,960.179,828.53,124.8987,451.2107,123.8436,171.9626
4/30/2007,107.17,104.54,100.25,100.69,956.458,812.773,125.9353,450.0223,123.986,173.2148
5/31/2007,107.34,105.08,99.15,100.31,984.117,807.268,127.4382,447.0487,124.0914,172.7233
6/29/2007,107.03,103.99,98.45,100.92,1009.41,796.479,127.6304,445.5299,124.3892,169.671
7/31/2007,106.62,101.82,99.71,100.53,985.054,808.446,123.195,449.7694,124.5261,172.4463
8/31/2007,108.18,102.41,101.24,101.08,967.673,785.814,121.6376,455.132,124.607,165.5659
9/28/2007,106.52,98.34,104.65,101.49,962.986,781.629,121.8647,455.361,124.3079,178.2499
