DATE,MSQEFLRG Index,MSQEFVAG Index,MSQEFMOG Index,MSQEFQUG Index,SGIFXC10 Index,SGIFXM10 Index,BXIIXTBP Index,BXIISAGU Index,BXIIEPAG Index,BCOM Index,RIY Index,RTY Index,MXEF Index,LBUSTRUU Index,LF98TRUU Index,CSLLLTOT Index,JCBDCOMP Index,JPEIDIVR Index,NGEMCOMP Index,JGENVUUG Index
1/31/2006,100,100,100,100,1003.745,801.137,122.4102,452.8532,121.8705,173.6687,697.783,733.215,783.77,1238.13,802.96,248.5517,175.513,368.92,189.848,159.7182
2/28/2006,101.11,100.83,100.27,99.9,1011.2,803.029,122.1682,453.0798,121.9741,162.2336,697.822,730.656,782.11,1242.24,808.32,250.2868,164.881,376.59,193.123,161.925
3/31/2006,100.83,101.07,100.67,100.17,996.974,789.442,124.6408,453.1771,122.1693,165.194,706.741,765.155,787.8,1230.05,813.16,252.1318,175.345,370.5,192.297,159.4316
4/28/2006,100.46,101.16,100.71,100.31,959.864,797.365,127.0332,452.9503,122.1937,175.7669,714.366,764.559,841.58,1227.82,818.17,253.3375,170.192,370.34,193.466,163.7956
5/31/2006,100.97,101.97,99.8,99.91,948.469,800.009,126.6535,452.3822,122.4198,176.6788,691.778,721.032,751,1226.51,818.06,254.3249,174.475,363.6,190.492,156.3626
6/30/2006,101.67,102.79,100.34,100.31,954.799,814.579,127.8264,451.436,122.9523,173.2354,691.801,724.689,747.54,1229.11,815.19,255.3664,190.273,362.27,188.802,152.2953
7/31/2006,104.45,104.43,100.66,100.36,957.363,814.093,125.0562,453.1607,122.4421,178.0322,692.591,700.577,755.84,1245.73,823.17,256.6866,179.266,373.56,194.933,158.7257
8/31/2006,104.44,104.28,99.02,99.55,970.813,813.364,126.6874,458.18,122.3563,170.8761,707.552,720.544,773.12,1264.8,836.52,258.4205,179.826,383.16,198.339,160.5647
9/29/2006,105.49,104.5,98.33,100.07,983.048,824.642,127.9482,460.2051,122.4175,159.9566,723.482,725.611,778.16,1275.91,848.38,259.8041,185.376,385.43,200.477,159.3715
10/31/2006,105.61,103.81,99.04,100.72,975.891,834.485,125.6989,459.3832,122.6746,166.8169,747.3,766.863,814.44,1284.35,859.92,261.583,165.471,392.97,203.94,166.8088
11/30/2006,106.07,102.88,99.32,99.3,948.16,828.96,127.0115,458.2122,122.6439,175.214,761.428,786.136,874.08,1299.25,874.37,263.0064,164.232,397.63,207.378,172.179
12/29/2006,108,104.01,99.94,99.17,966.711,819.083,125.1143,454.4777,122.9628,166.5087,770.075,787.682,912.65,1291.71,883.97,265.0374,147.71,400.11,210.516,176.0364
1/31/2007,107.96,103.09,100.47,99.35,978.331,823.118,127.0398,454.4042,123.3501,166.0942,784.112,800.363,901.48,1291.18,893.84,267.2723,152.655,399.48,210.897,174.6233
2/28/2007,107,104.08,100,99.93,962.29,831.684,124.6799,453.3182,123.3686,171.0131,768.923,793.317,895.54,1311.09,906.34,269.237,165.896,406.1,213.442,177.0335
3/30/2007,107.32,103.84,101.56,100.32,960.179,828.53,124.8987,451.2107,123.8436,171.9626,775.971,800.729,929.03,1311.13,907.3,270.5403,168.952,409.86,215.735,182.4885
4/30/2007,107.17,104.54,100.25,100.69,956.458,812.773,125.9353,450.0223,123.986,173.2148,807.824,814.589,969.93,1318.2,919.09,272.0321,164.434,412.98,217.524,187.9899
5/31/2007,107.34,105.08,99.15,100.31,984.117,807.268,127.4382,447.0487,124.0914,172.7233,835.138,847.164,1014.79,1308.21,925.96,273.7499,154.39,411.39,217.902,191.7492
6/29/2007,107.03,103.99,98.45,100.92,1009.41,796.479,127.6304,445.5299,124.3892,169.671,818.18,833.719,1059.69,1304.34,909.33,274.6058,168.131,403.57,215.558,191.4418
7/31/2007,106.62,101.82,99.71,100.53,985.054,808.446,123.195,449.7694,124.5261,172.4463,792.114,776.145,1112.77,1315.22,877.13,265.4762,215.847,399.28,209.159,193.1763
8/31/2007,108.18,102.41,101.24,101.08,967.673,785.814,121.6376,455.132,124.607,165.5659,801.222,792.861,1086.98,1331.34,889.09,266.1436,235.381,403.57,210.24,189.9518
9/28/2007,106.52,98.34,104.65,101.49,962.986,781.629,121.8647,455.361,124.3079,178.2499,830.593,805.45,1204.9,1341.44,912.36,270.3871,226.968,413.16,215.781,201.492
10/31/2007,105.8,94.67,108.28,99.82,968.992,781.911,122.8605,457.1853,124.2271,183.5241,844.196,828.019,1337.45,1353.49,917.83,272.4733,234.335,423.3,218.864,210.2031
11/30/2007,106.86,93.51,110.71,100.58,938.449,790.683,127.792,468.9419,125.9601,177.2468,806.439,767.768,1242.06,1377.83,897.92,269.2161,296.779,422.18,219.17,207.4491
12/31/2007,107.31,93.14,114.36,100.46,940.508,797.491,125.8018,464.0625,126.0609,184.964,799.82,766.037,1245.59,1381.7,900.54,270.0262,300.967,424.74,220.094,207.909
1/31/2008,105.21,95.74,108.02,99.76,933.708,796.365,131.4211,479.4643,128.6136,192.2861,750.972,713.298,1088.72,1404.91,888.52,261.6686,346.825,428.01,223.729,211.1227
2/29/2008,103.71,93.88,112.04,100.27,952.451,798.682,133.7541,487.065,129.1988,215.5208,726.424,686.18,1167.66,1406.86,876.4,255.4252,375.673,427.54,226.702,214.4441
3/31/2008,104.33,93.78,112.17,101.28,950.105,779.13,133.2012,485.7588,128.485,201.5983,720.319,687.967,1104.58,1411.66,873.38,254.5256,404.854,427.32,225.659,212.5631
4/30/2008,102.34,91.77,113.82,100.83,957.765,787.045,128.4729,471.1336,126.9175,208.5523,756.03,716.176,1191.53,1408.71,911.02,262.9388,349.273,431.36,229.646,215.5239
5/30/2008,102.28,90.64,115.73,101.24,964.116,790.302,129.8664,468.3077,128.4532,213.9473,768.28,748.282,1210.04,1398.38,914.31,264.8886,330.942,431.87,231.502,216.8329
6/30/2008,100.96,88.04,123.26,102.99,963.053,806.268,129.883,468.9429,128.7101,233.0345,703.217,689.659,1087.12,1397.26,888.75,265.2918,367.508,423.41,227.458,214.026
7/31/2008,104.19,90.47,122.32,103.48,953.624,815.241,127.5415,470.8962,130.8274,205.1032,694.067,714.524,1041.86,1396.11,876.91,262.7094,390.174,427.79,224.721,227.242
8/29/2008,106.76,93.06,117.3,103.18,904.519,808.173,127.2628,476.526,131.8478,189.8888,702.171,739.497,956.25,1409.36,879.98,262.5575,403.531,430.94,222.469,219.3385
9/30/2008,116.17,95.94,114.79,102.89,881.142,812.511,128.8733,480.0345,133.3311,167.7756,634.084,679.583,786.92,1390.43,809.78,249.6197,558.821,402.17,199.13,207.5378
10/31/2008,117.38,97.15,112.37,104.29,862.501,805.954,131.4606,488.7223,136.4644,131.9721,522.468,537.521,570.52,1357.61,680.97,217.0848,930.349,337.69,136.467,178.3278
11/28/2008,120.78,94.78,114.21,106.54,853.278,840.82,139.1289,513.2826,138.4841,122.7531,481.428,473.138,526.97,1401.8,617.55,199.9513,929.058,347.7,132.829,179.4008
12/31/2008,117.7,99.7,111.51,105.83,867.484,832.764,143.6408,528.1415,141.0391,117.2441,487.766,499.453,567.04,1454.1,665,192.3851,951.562,373.64,130.012,197.0485
1/30/2009,117.12,98.6,112.83,106.15,846.052,867.694,140.7259,518.3127,142.1603,110.9304,447.322,443.526,529.53,1441.27,704.86,203.4954,875.653,378.59,142.932,185.2988
2/27/2009,113.51,96.17,112.78,108.67,846.066,890.776,142.5375,522.3074,141.6272,105.988,399.612,389.016,499.3,1435.83,682.99,204.2005,921.025,374.4,144.087,175.4806
3/31/2009,110.6,95.32,106.46,108.09,864.877,893.121,143.7395,532.7441,143.2347,109.7822,433.673,422.748,569.97,1455.79,704.77,206.1701,909.974,387.99,152.715,185.5072
4/30/2009,107.94,100.67,89.97,105.74,871.555,900.239,141.7801,523.5892,143.113,110.5712,476.839,487.561,662.73,1462.75,790.08,222.6905,776.856,409.51,165.159,201.1378
5/29/2009,107.18,102.47,83.81,107.38,896.941,915.028,142.9971,517.693,144.426,124.9324,501.947,501.629,773.12,1473.36,843.24,235.3854,634.608,426.18,180.816,212.5009
6/30/2009,108.21,103.32,84.95,108.21,902.651,917.518,139.979,514.8743,143.4367,122.5361,502.266,508.282,761.3,1481.74,867.39,244.5175,578.014,432.3,188.128,215.1375
7/31/2009,107.75,104.06,82.45,107.43,911.619,923.62,139.061,515.1612,144.1826,126.4754,539.88,556.712,844.02,1505.64,920.18,254.6537,527.734,446.08,198.83,225.0539
